S,P,R,F
1000,0.7244318181818182,0.7244318181818182,0.7093184979137692
1,0.7249283667621776,0.7249283667621776,0.7106741573033709
2,0.6988636363636364,0.6988636363636364,0.723529411764706
3,0.7514450867052023,0.7514450867052023,0.7386363636363635
4,0.7204610951008645,0.7204610951008645,0.7256894049346879
5,0.7314285714285714,0.7314285714285714,0.694708276797829
6,0.7228571428571429,0.7228571428571429,0.7177304964539007
7,0.6940509915014165,0.6940509915014165,0.716374269005848
8,0.7392550143266475,0.7392550143266475,0.7247191011235955
9,0.7514450867052023,0.7514450867052023,0.7202216066481995
10,0.7310924369747899,0.7310924369747899,0.7260083449235047
11,0.7057142857142857,0.7057142857142857,0.7138728323699424
12,0.7357954545454546,0.7357954545454546,0.7194444444444444
13,0.7306590257879656,0.7306590257879656,0.6873315363881402
14,0.7365439093484419,0.7365439093484419,0.7212205270457699
15,0.7308781869688386,0.7308781869688386,0.7319148936170213
16,0.7106017191977078,0.7106017191977078,0.7015558698727016
17,0.6495726495726496,0.6495726495726496,0.6961832061068703
18,0.7171428571428572,0.7171428571428572,0.7223021582733813
19,0.7492957746478873,0.7492957746478873,0.7228260869565217
20,0.7378917378917379,0.7378917378917379,0.7028493894165536
21,0.7220630372492837,0.7220630372492837,0.6961325966850829
